#separator:tab
#html:false
#columns:Front	Back	Tags
die Schule	the school	lesson2::nomen lesson2::essentials
der Platz	the square	lesson2::nomen
der Zoo	the zoo	lesson2::nomen
der Bahnhof	the train station	lesson2::nomen lesson2::essentials
die Bibliothek	the library	lesson2::nomen
die Universität	the university	lesson2::nomen
das Einkaufszentrum	the shopping mall	lesson2::nomen
der Park	the park	lesson2::nomen
der Spielplatz	the playground	lesson2::nomen
die Post	the post office	lesson2::nomen
der Markt	the market	lesson2::nomen
das Fitnessstudio	the gym	lesson2::nomen
das Café	Café	lesson2::nomen
der Friseur	the hair salon	lesson2::nomen
die Metzgerei	the butcher shop	lesson2::nomen
der Blumenladen	the flower shop	lesson2::nomen
das Stadion	the stadium	lesson2::nomen
das Rathaus	the town hall	lesson2::nomen
das Schwimmbad	the swimming pool	lesson2::nomen
das Theater	the theater	lesson2::nomen
die Tierklinik	the veterinary clinic	lesson2::nomen
der Friedhof	the cemetery	lesson2::nomen
die Autowerkstatt	the car repair shop	lesson2::nomen
die Buchhandlung	the bookstore	lesson2::nomen
die Konditorei	the pastry shop	lesson2::nomen
die Drogerie	the drugstore	lesson2::nomen
der Kassierer	the cashier	lesson2::nomen
der Warenkorb	the trolley / the shopping cart	lesson2::nomen
die Tasche	the bag	lesson2::nomen
die Garantie	the warranty	lesson2::nomen
das Rückgaberecht	the refund policy	lesson2::nomen
die Kundenkarte	the loyalty card	lesson2::nomen
die Mehrwertsteuer-Quittung	VAT receipt	lesson2::nomen
der Rabatt	the cash discount	lesson2::nomen
der Gang	the aisle	lesson2::nomen
das Regal	the shelf	lesson2::nomen
die Umkleidekabine	the changing room	lesson2::nomen
die Lieferung	the delivery	lesson2::nomen
der Schlussverkauf	the sale	lesson2::nomen
das Frühstück	the breakfast	lesson2::nomen lesson2::essentials
das Mittagessen	the lunch	lesson2::nomen lesson2::essentials
das Abendessen	the dinner	lesson2::nomen lesson2::essentials
das Besteck	the cutlery	lesson2::nomen
die Serviette	the napkin	lesson2::nomen
der Brunch	the brunch	lesson2::nomen
der Hauptgang	the main course	lesson2::nomen
das Dessert	the dessert	lesson2::nomen
das Trinkgeld	the tip	lesson2::nomen
die Beilage	the side dish	lesson2::nomen
das Getränk	the beverage / the drink	lesson2::nomen
der Appetizer	the appetizer	lesson2::nomen
das Zimmer	the room	lesson2::nomen lesson2::essentials
der Zimmerservice	the room service	lesson2::nomen
das Badezimmer	the bathroom	lesson2::nomen
das Bett	the bed	lesson2::nomen
das Schlafzimmer	the bedroom	lesson2::nomen
die Etage	the floor	lesson2::nomen
der Aufzug	the elevator	lesson2::nomen
die Rezeption	the reception	lesson2::nomen
das Handtuch	the towel	lesson2::nomen
der Nebenraum	the adjoining room	lesson2::nomen
das Gepäck	the baggage	lesson2::nomen
der Page	the bellboy	lesson2::nomen
die Kochnische	the kitchenette	lesson2::nomen
die Bettwäsche	the linen	lesson2::nomen
der Kammerdiener	the valet	lesson2::nomen
die Lobby	the lobby	lesson2::nomen
die Anzahlung	the deposit	lesson2::nomen
das Einchecken	the check-in	lesson2::nomen
das Auschecken	the check-out	lesson2::nomen
die Million	the million	lesson2::nomen
die Milliarde	the billion	lesson2::nomen
der Mann	the man	lesson2::nomen lesson2::essentials
die Frau	the woman	lesson2::nomen lesson2::essentials
der Junge	the boy	lesson2::nomen
das Mädchen	the girl	lesson2::nomen
der Arm	the arm	lesson2::nomen
die Hand	the hand	lesson2::nomen lesson2::essentials
das Bein	the leg	lesson2::nomen
der Fuß	the foot	lesson2::nomen
das Auge	the eye	lesson2::nomen
der Kopf	the head	lesson2::nomen lesson2::essentials
das Gehirn	the brain	lesson2::nomen
die Nase	the nose	lesson2::nomen
das Ohr	the ear	lesson2::nomen
das Haar	the hair	lesson2::nomen
die Augenbraue	the eyebrow	lesson2::nomen
die Lippe	the lip	lesson2::nomen
der Finger	the finger	lesson2::nomen
das Skelett	the skeleton	lesson2::nomen
der Knochen	the bone	lesson2::nomen
die Haut	the skin	lesson2::nomen
das Ding	the thing	lesson2::nomen
das Leben	the life	lesson2::nomen
die Regierung	the government	lesson2::nomen
das Kind	the child	lesson2::nomen lesson2::essentials
die Firma	the company	lesson2::nomen
die Gruppe	the group	lesson2::nomen
das Alter	the age	lesson2::nomen
der Mond	the moon	lesson2::nomen
die Sonne	the sun	lesson2::nomen
das Auto	the car	lesson2::nomen lesson2::essentials
das Buch	the book	lesson2::nomen lesson2::essentials
die Welt	the world	lesson2::nomen
die Familie	the family	lesson2::nomen lesson2::essentials
der Freund	the friend	lesson2::nomen lesson2::essentials
das Gesetz	the law	lesson2::nomen
