#separator:tab
#html:false
#columns:Front	Back	Tags
beginnen	to begin	lesson2::verben lesson2::untrennbar
bestellen	to order	lesson2::verben lesson2::untrennbar
verdienen	to earn	lesson2::verben lesson2::untrennbar
bezahlen	to pay	lesson2::verben lesson2::untrennbar
bestätigen	to confirm	lesson2::verben lesson2::untrennbar
besprechen	to discuss	lesson2::verben lesson2::untrennbar
abreisen	to leave / to depart	lesson2::verben lesson2::trennbar
ablesen	to read from	lesson2::verben lesson2::trennbar
abnehmen	to lose weight	lesson2::verben lesson2::trennbar
anschauen	to look at	lesson2::verben lesson2::trennbar
angreifen	to touch	lesson2::verben lesson2::trennbar
anbieten	to offer	lesson2::verben lesson2::trennbar
aufladen	to charge	lesson2::verben lesson2::trennbar
aufbauen	to build / to set up	lesson2::verben lesson2::trennbar
ausdenken	to think up	lesson2::verben lesson2::trennbar
ausdrucken	to print	lesson2::verben lesson2::trennbar
beibringen	to teach	lesson2::verben lesson2::trennbar
beitragen	to contribute	lesson2::verben lesson2::trennbar
einsteigen	to get in / to get on	lesson2::verben lesson2::trennbar
einbrechen	to break in	lesson2::verben lesson2::trennbar
herkommen	to come here	lesson2::verben lesson2::trennbar
herstellen	to produce	lesson2::verben lesson2::trennbar
hinfahren	to drive there / to go there	lesson2::verben lesson2::trennbar
hinfallen	to fall down	lesson2::verben lesson2::trennbar
hinstellen	to put down	lesson2::verben lesson2::trennbar
hingehen	to go there	lesson2::verben lesson2::trennbar
hinbewegen	to move toward	lesson2::verben lesson2::trennbar
hineinfahren	to drive in	lesson2::verben lesson2::trennbar
hineinlegen	to put in	lesson2::verben lesson2::trennbar
hineinsehen	to look in	lesson2::verben lesson2::trennbar
hineingehen	to go in	lesson2::verben lesson2::trennbar
losfahren	to set off / to drive off	lesson2::verben lesson2::trennbar
losgehen	to set off / to start	lesson2::verben lesson2::trennbar
loslachen	to burst out laughing	lesson2::verben lesson2::trennbar
losstürmen	to storm off	lesson2::verben lesson2::trennbar
mitfahren	to ride along	lesson2::verben lesson2::trennbar
mitmachen	to join in	lesson2::verben lesson2::trennbar
vorfahren	to drive up	lesson2::verben lesson2::trennbar
vorbestellen	to pre-order	lesson2::verben lesson2::trennbar
wegbringen	to take away	lesson2::verben lesson2::trennbar
wegfahren	to drive away	lesson2::verben lesson2::trennbar
weggeben	to give away	lesson2::verben lesson2::trennbar
wegwerfen	to throw away	lesson2::verben lesson2::trennbar
wegschmeißen	to chuck away	lesson2::verben lesson2::trennbar
zudecken	to cover up	lesson2::verben lesson2::trennbar
zudrehen	to turn off	lesson2::verben lesson2::trennbar
zusenden	to send to	lesson2::verben lesson2::trennbar
zuwerfen	to throw to	lesson2::verben lesson2::trennbar
zurückkehren	to return	lesson2::verben lesson2::trennbar
zurückgeben	to give back	lesson2::verben lesson2::trennbar
zurückfahren	to drive back	lesson2::verben lesson2::trennbar
beachten	to pay attention to / to observe	lesson2::verben lesson2::untrennbar
beantworten	to answer	lesson2::verben lesson2::untrennbar
entfernen	to remove	lesson2::verben lesson2::untrennbar
entkommen	to escape	lesson2::verben lesson2::untrennbar
entgleisen	to derail	lesson2::verben lesson2::untrennbar
erhellen	to light up	lesson2::verben lesson2::untrennbar
erstarren	to freeze / to stiffen	lesson2::verben lesson2::untrennbar
erkranken	to fall ill	lesson2::verben lesson2::untrennbar
erschießen	to shoot dead	lesson2::verben lesson2::untrennbar
misslingen	to fail	lesson2::verben lesson2::untrennbar
missraten	to turn out badly	lesson2::verben lesson2::untrennbar
verlassen	to leave	lesson2::verben lesson2::untrennbar
verpassen	to miss	lesson2::verben lesson2::untrennbar
zerbrechen	to break	lesson2::verben lesson2::untrennbar
zerschlagen	to smash	lesson2::verben lesson2::untrennbar
zerreißen	to tear	lesson2::verben lesson2::untrennbar
fliegen	to fly	lesson2::verben
fahren	to drive / to ride	lesson2::verben
segeln	to sail	lesson2::verben
vorbeigehen	to go past	lesson2::verben lesson2::trennbar
geben	to give	lesson2::verben lesson2::untrennbar
leben	to live	lesson2::verben
machen	to make	lesson2::verben
laufen	to walk / to run	lesson2::verben
gehen	to go	lesson2::verben lesson2::untrennbar
benutzen	to use	lesson2::verben lesson2::untrennbar
essen	to eat	lesson2::verben
denken	to think	lesson2::verben
kommen	to come	lesson2::verben
tun	to do	lesson2::verben
sagen	to say	lesson2::verben
wissen	to know	lesson2::verben
sehen	to see	lesson2::verben
wollen	to want	lesson2::verben
finden	to find	lesson2::verben
erzählen	to tell	lesson2::verben lesson2::untrennbar
fragen	to ask	lesson2::verben
versuchen	to try	lesson2::verben lesson2::untrennbar
arbeiten	to work	lesson2::verben
fühlen	to feel	lesson2::verben
bleiben	to stay	lesson2::verben
lesen	to read	lesson2::verben
schreiben	to write	lesson2::verben
spielen	to play	lesson2::verben
zahlen	to pay	lesson2::verben
schlafen	to sleep	lesson2::verben
sitzen	to sit	lesson2::verben
stehen	to stand	lesson2::verben
helfen	to help	lesson2::verben
lernen	to learn	lesson2::verben
unterrichten	to teach	lesson2::verben lesson2::untrennbar
tragen	to carry	lesson2::verben
brauchen	to need	lesson2::verben
hoffen	to hope	lesson2::verben
bringen	to bring	lesson2::verben
passen	to fit	lesson2::verben
lassen	to let	lesson2::verben
trinken	to drink	lesson2::verben
